[2026-07-06 02:56:52] [INFO] Router Dispatch - Method: GET, Path: /api/v1/version
[2026-07-06 04:36:12] [INFO] Router Dispatch - Method: GET, Path: /api/v1/version
[2026-07-06 06:00:06] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 06:00:06] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 06:11:37] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 06:59:14] [INFO] Router Dispatch - Method: GET, Path: /api/v1/version
[2026-07-06 09:07:56] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 09:54:41] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 12:06:42] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 14:47:33] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 14:51:48] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 14:55:46] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 14:55:52] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 14:59:06] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 15:11:20] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 15:11:21] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 15:50:19] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-06 19:40:40] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
