[2026-08-21 01:02:42] [INFO] Router Dispatch - Method: GET, Path: /api/v1/.env
[2026-08-21 01:02:43] [INFO] Router Dispatch - Method: GET, Path: /api/v2/.env
[2026-08-21 01:02:44] [INFO] Router Dispatch - Method: GET, Path: /api/v3/.env
[2026-08-21 01:02:44] [INFO] Router Dispatch - Method: GET, Path: /api/dev/.env
[2026-08-21 01:02:44] [INFO] Router Dispatch - Method: GET, Path: /api/staging/.env
[2026-08-21 01:22:33] [INFO] Router Dispatch - Method: GET, Path: /api/v1/.env
[2026-08-21 01:22:33] [INFO] Router Dispatch - Method: GET, Path: /api/v2/.env
[2026-08-21 01:22:34] [INFO] Router Dispatch - Method: GET, Path: /api/v3/.env
[2026-08-21 01:22:34] [INFO] Router Dispatch - Method: GET, Path: /api/dev/.env
[2026-08-21 01:22:35] [INFO] Router Dispatch - Method: GET, Path: /api/staging/.env
[2026-08-21 01:32:39] [INFO] Router Dispatch - Method: GET, Path: /api/v1/.env
[2026-08-21 01:32:39] [INFO] Router Dispatch - Method: GET, Path: /api/v2/.env
[2026-08-21 01:32:40] [INFO] Router Dispatch - Method: GET, Path: /api/v3/.env
[2026-08-21 01:32:40] [INFO] Router Dispatch - Method: GET, Path: /api/dev/.env
[2026-08-21 01:32:40] [INFO] Router Dispatch - Method: GET, Path: /api/staging/.env
[2026-08-21 01:33:47] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-21 01:33:48] [INFO] Router Dispatch - Method: GET, Path: /api/file
[2026-08-21 01:33:49] [INFO] Router Dispatch - Method: GET, Path: /http://169.254.169.254/latest/meta-data/iam/security-credentials
[2026-08-21 01:33:49] [INFO] Router Dispatch - Method: GET, Path: /http://169.254.169.254/latest/meta-data
[2026-08-21 01:33:50] [INFO] Router Dispatch - Method: GET, Path: /api/aws/credentials
[2026-08-21 01:33:50] [INFO] Router Dispatch - Method: GET, Path: /api/v1/credentials
[2026-08-21 01:33:50] [INFO] Router Dispatch - Method: GET, Path: /api/v1/config
[2026-08-21 01:33:51] [INFO] Router Dispatch - Method: GET, Path: /api/v1/settings
[2026-08-21 03:06:13] [INFO] Router Dispatch - Method: GET, Path: /api/v1/.env
[2026-08-21 03:06:13] [INFO] Router Dispatch - Method: GET, Path: /api/v2/.env
[2026-08-21 03:06:15] [INFO] Router Dispatch - Method: GET, Path: /api/v3/.env
[2026-08-21 03:06:15] [INFO] Router Dispatch - Method: GET, Path: /api/dev/.env
[2026-08-21 03:06:15] [INFO] Router Dispatch - Method: GET, Path: /api/staging/.env
[2026-08-21 06:58:40] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
