2026-04-25 09:35:41 - Method: GET, Path: /api/endpoint
2026-04-25 09:35:45 - Method: GET, Path: /[[...slug]]
2026-04-25 09:36:05 - Method: GET, Path: /api/test
2026-04-25 17:40:56 - Method: GET, Path: /api/_profiler/latest
2026-04-25 17:40:56 - Method: GET, Path: /api/debug/vars
2026-04-25 17:40:56 - Method: GET, Path: /api/actuator/configprops
2026-04-25 17:40:56 - Method: GET, Path: /api/info.php
2026-04-25 17:40:56 - Method: GET, Path: /api/debug/vars
2026-04-25 17:40:56 - Method: GET, Path: /api/console
2026-04-25 17:40:56 - Method: GET, Path: /api/actuator/heapdump
2026-04-25 17:40:57 - Method: GET, Path: /api/v1
2026-04-25 17:40:57 - Method: GET, Path: /api/__inspect
2026-04-25 17:40:57 - Method: GET, Path: /debug/pprof
2026-04-25 17:40:58 - Method: GET, Path: /api/.DS_Store
2026-04-25 17:40:59 - Method: GET, Path: /api/.DS_Store
2026-04-25 18:53:54 - Method: GET, Path: /api/config
2026-04-25 18:53:54 - Method: GET, Path: /api/settings
2026-04-25 18:53:54 - Method: GET, Path: /api/env
2026-04-25 18:53:55 - Method: GET, Path: /api/v1/settings
2026-04-25 18:53:55 - Method: GET, Path: /api/v1/config
2026-04-25 18:54:00 - Method: POST, Path: /api/graphql
2026-04-26 08:32:05 - Method: POST, Path: /api/graphql
2026-04-26 08:32:06 - Method: GET, Path: /api/v1
2026-04-26 08:32:06 - Method: GET, Path: /api/v2
2026-04-26 08:32:07 - Method: GET, Path: /api/v3
2026-04-26 08:32:07 - Method: GET, Path: /internal
2026-04-26 08:32:08 - Method: GET, Path: /admin
2026-04-26 08:32:08 - Method: GET, Path: /debug
2026-04-26 08:32:10 - Method: GET, Path: /http://169.254.169.254/latest/meta-data/iam/security-credentials
2026-04-26 14:58:44 - Method: GET, Path: /api/v1/config
2026-04-26 14:58:44 - Method: GET, Path: /api/env
2026-04-26 14:58:44 - Method: GET, Path: /api/v1/env
2026-04-26 14:58:45 - Method: GET, Path: /api/v1/settings
2026-04-26 14:58:46 - Method: GET, Path: /api/config
2026-04-26 14:58:46 - Method: GET, Path: /api/settings
2026-04-26 21:11:54 - Method: GET, Path: /api/settings
2026-04-26 21:11:54 - Method: GET, Path: /api/v1/config
2026-04-26 21:11:54 - Method: GET, Path: /api/v1/settings
2026-04-26 21:11:54 - Method: GET, Path: /api/config
2026-04-26 21:11:55 - Method: GET, Path: /api/v1/env
2026-04-26 21:11:56 - Method: GET, Path: /api/env
2026-04-28 01:37:37 - Method: GET, Path: /api/v2/messages
2026-04-28 01:37:37 - Method: GET, Path: /debug/pprof
2026-04-28 01:37:41 - Method: GET, Path: /api/debug/vars
2026-04-28 01:37:42 - Method: GET, Path: /api/server-info
2026-04-28 01:37:43 - Method: GET, Path: /api/.DS_Store
2026-04-28 01:38:31 - Method: GET, Path: /api/v1
2026-04-28 01:38:31 - Method: GET, Path: /api/v2/messages
2026-04-28 01:38:37 - Method: GET, Path: /api/.DS_Store
2026-05-05 17:20:25 - Method: GET, Path: /api/v1/env
2026-05-05 17:20:25 - Method: GET, Path: /api/env
2026-05-05 17:20:25 - Method: GET, Path: /api/settings
2026-05-05 17:20:25 - Method: GET, Path: /api/config
2026-05-05 17:20:25 - Method: GET, Path: /api/v2/config
2026-05-05 17:20:25 - Method: GET, Path: /api/v2/settings
2026-05-05 17:20:25 - Method: GET, Path: /api/v1/config
2026-05-05 17:20:25 - Method: GET, Path: /api/v1/settings
2026-05-05 17:20:26 - Method: GET, Path: /api/account
2026-05-05 17:20:26 - Method: GET, Path: /api/openapi.json
2026-05-05 17:20:26 - Method: GET, Path: /api/health
2026-05-05 18:06:58 - Method: GET, Path: /api/v1/env
2026-05-05 18:06:58 - Method: GET, Path: /api/config
2026-05-05 18:06:58 - Method: GET, Path: /api/v1/settings
2026-05-05 18:06:58 - Method: GET, Path: /api/settings
2026-05-05 18:06:58 - Method: GET, Path: /api/v1/config
2026-05-05 18:06:58 - Method: GET, Path: /api/env
2026-05-05 18:06:58 - Method: GET, Path: /api/v2/settings
2026-05-05 18:06:58 - Method: GET, Path: /api/openapi.json
2026-05-05 18:06:58 - Method: GET, Path: /api/health
2026-05-05 18:06:58 - Method: GET, Path: /api/account
2026-05-05 18:06:58 - Method: GET, Path: /api/v2/config
2026-05-05 22:49:47 - Method: GET, Path: /api/v1/env
